date_time,altitude,calories,distance,steps
2019-01-11T05:00:00Z,180,2243.8,191540,2907
2019-01-12T05:00:00Z,220,2625.15,1041320,15583
2019-01-13T05:00:00Z,250,2272.87,982440,14426
2019-01-14T05:00:00Z,320,2052.5499999999997,810770,12215
2019-01-15T05:00:00Z,320,2240.87,591420,8912
2019-01-16T05:00:00Z,190,1932.9,635850,9046
2019-01-17T05:00:00Z,170,1823.82,360990,5457
2019-01-18T05:00:00Z,370,2786.61,1267280,19152
2019-01-19T05:00:00Z,80,1694.72,651380,9785
2019-01-20T05:00:00Z,NA,1353.6,NA,NA
2019-01-21T05:00:00Z,NA,1354.0600000000002,NA,NA
2019-01-22T05:00:00Z,210,1994.38,414960,6267
2019-01-23T05:00:00Z,500,2431.4,743610,11088
2019-01-24T05:00:00Z,210,1719.47,617490,8870
2019-01-25T05:00:00Z,300,2034.46,585450,8560
2019-01-26T05:00:00Z,330,2091.03,813350,11777
2019-01-27T05:00:00Z,160,2242.9700000000003,694540,10021
2019-01-28T05:00:00Z,110,1534.71,237890,3607
2019-01-29T05:00:00Z,NA,1346.3100000000002,NA,NA
2019-01-30T05:00:00Z,390,1839.0900000000001,456530,6711
2019-01-31T05:00:00Z,220,2141.68,274700,4142
2019-02-01T05:00:00Z,240,1924.93,812160,11509
2019-02-02T05:00:00Z,60,2395.9,769440,11540
2019-02-03T05:00:00Z,240,2051.07,618730,9253
2019-02-04T05:00:00Z,160,2312.65,398150,6033
2019-02-05T05:00:00Z,110,1792.05,1116350,15190
2019-02-06T05:00:00Z,230,1969.0900000000001,690600,9968
2019-02-07T05:00:00Z,200,1891.92,440020,6357
2019-02-08T05:00:00Z,NA,1339.5600000000002,170740,2588
2019-02-09T05:00:00Z,330,2054.94,805216,10863
2019-02-10T05:00:00Z,160,1914.89,386730,5780
2019-02-11T05:00:00Z,190,2266.32,305120,4624
2019-02-12T05:00:00Z,260,1873.92,1033500,14148
2019-02-13T05:00:00Z,390,2280.89,682820,9923
2019-02-14T05:00:00Z,270,1985.51,698060,10533
2019-02-15T05:00:00Z,170,1668.95,535910,7919
2019-02-16T05:00:00Z,260,2516.54,1101439,15320
2019-02-17T05:00:00Z,130,2236.54,832780,12524
2019-02-18T05:00:00Z,170,1686.18,466270,6940
2019-02-19T05:00:00Z,NA,1342.48,13730,209
2019-02-20T05:00:00Z,NA,1339.2,NA,NA
2019-02-21T05:00:00Z,NA,1339.2,NA,NA
2019-02-22T05:00:00Z,240,1944.73,395300,5249
2019-02-23T05:00:00Z,190,1947.98,619420,9386
2019-02-24T05:00:00Z,170,2357.29,1606510,21511
2019-02-25T05:00:00Z,420,1675.27,366890,5512
2019-02-26T05:00:00Z,200,1771.74,514860,7312
2019-02-27T05:00:00Z,NA,1324.8,NA,NA
2019-02-28T05:00:00Z,NA,1324.9,NA,NA
2019-03-01T05:00:00Z,50,1831.8,172390,2612
2019-03-02T05:00:00Z,140,2023.98,419960,6372
2019-03-03T05:00:00Z,200,2564.9700000000003,1493801,20296
