workout_date,workout_type,training_for,workout_notes_goals
1/27/18,Walk/Run Interval + Fun Run ,,running intervals <10 minutes
3/24/18,Walk/Run Interval,,running intervals <10 minutes
5/9/18,Walk/Run Interval,10k,running intervals <10 minutes
5/19/18,Walk/Run Interval,10k,10 minutes running + 2 min walking + 10 minutes running
5/22/18,Long Run ,10k,22 minutes running
5/27/18,Long Run ,10k,28 minutes running
5/29/18,Fun Run ,10k,25 minutes running
5/31/18,Fun Run ,10k,25 minutes running
6/3/18,Long Run ,10k,28 minutes running
6/5/18,Long Run + Virtual Race,10k,First time running 5k 
6/10/18,Long Run ,10k,40 minutes running
6/13/18,Speed Run,10k,
6/19/18,Fun Run ,10k,
6/23/18,Recovery Run ,10k,
6/27/18,Long Run ,10k,4 miles running
6/30/18,Run Test,10k,
7/2/18,Long Run ,10k,4.5 miles running
7/9/18,Long Run ,10k,
7/14/18,Speed Run ,10k,
7/17/18,Recovery Run ,10k,
7/20/18,Fun Run ,10k,
7/22/18,Race,,First 10k Race
7/25/18,Recovery Run ,,
7/29/18,Pre-Biking Run ,,
8/1/18,Recovery Run ,,
8/2/18,Recovery Run ,,
8/5/18,Long Run ,,
8/11/18,Speed Run ,,
8/22/18,Speed Run ,,
8/25/18,Long Run ,,
9/5/18,Treadmill Intervals,,
9/16/18,Fun Run ,,
9/19/18,Treadmill Intervals,,
9/21/18,Long Run ,,
9/27/18,Treadmill Intervals,,
9/29/18,Race,,
10/1/18,Recovery Run ,,
10/7/18,Long Run ,,
10/28/18,Long Run ,,
11/5/18,Long Run ,,
11/7/18,Treadmill Intervals,,
11/25/18,Race,,
1/7/19,Beach Run/Walk,,
1/16/19,Treadmill Intervals,,
1/23/19,Treadmill Intervals,,
1/26/19,Treadmill Intervals,,
1/31/19,Treadmill Intervals,,
2/4/19,Treadmill Intervals,,
2/9/19,Fun Run ,,
2/10/19,Treadmill Intervals,,
2/11/19,Long Run ,,13.1m
2/13/19,Treadmill Intervals,,13.1m
2/16/19,Long Run ,,13.1m
2/22/19,Recovery Run ,,13.1m
2/24/19,Long Run ,,13.1m
2/26/19,Recovery Run ,,13.1m
3/1/19,Long Run ,,13.1m
3/4/19,Recovery Run ,,13.1m
3/6/19,Treadmill Intervals,,13.1m
3/10/19,Long Run ,,13.1m
3/13/19,Recovery Run ,,13.1m
3/16/19,Recovery Run ,,13.1m
3/20/19,Recovery Run ,,13.1m
3/21/19,Long Run ,,13.1m
3/23/19,Tempo Run ,,13.1m
3/26/19,Treadmill Intervals,,13.1m
3/27/19,Recovery Run ,,13.1m
3/31/19,Long Run ,,13.1m
4/3/19,Recovery Run ,,13.1m
4/6/19,Recovery Run ,,13.1m
4/10/19,Recovery Run ,,13.1m
4/12/19,Recovery Run ,,13.1m
4/14/19,Race,,
